Symbol,Five_Minute_Change,Average_Volume,Total_Volume,Days_Open,Days_Change,20MA_Open,50MA_Open,200MA_Open,20MA_Change,50MA_Change,200MA_Change
AAPL,-2.83E-05,12482.55072,861296,127.54,-0.003841932,126.50725,126.0653,126.204575,0.008550893,0.011942224,0.005303096
AAPL,-3.79E-05,9633.328358,645433,127.17,-0.001965872,127.18375,127.4923,126.8729,-0.004078744,-0.005564258,8.08E-05
AAPL,-3.69E-05,11700.89552,783960,127.045,-0.001849738,126.89175,126.7896,126.969175,-0.001048137,-0.000138024,0.000325866
AAPL,-0.000245821,14833.74242,979027,127.42,-0.015656883,127.0295,126.8361,126.9794,-0.009236044,-0.00454839,-0.002065099
AAPL,-6.42E-05,13962.61194,935495,125.21,-0.004472486,125.40025,125.8374,126.600775,-0.003199754,-0.006204833,-0.004627341
AAPL,-6.00E-05,13360.34848,881783,124.65,-0.003610108,124.72175,124.8845,125.872675,-0.000290647,-0.001928182,-0.005858499
AAPL,-1.67E-05,11241.98485,741971,125.085,-4.00E-05,124.7115,124.7108,125.02415,-2.00E-06,-0.001029582,-0.002203774
AAPL,2.15E-05,12033.95652,830343,123.44,0.000324044,124.02025,124.271,124.6447,-0.002711251,-0.004558586,-0.002883195
AAPL,9.85E-05,11462.64179,767997,124.84,0.008410766,124.35975,124.0296,124.295425,0.012015544,0.013545154,0.002016969
AAPL,7.08E-05,15678.86567,1050484,125.305,0.005546467,125.4885,125.654,124.62285,-0.000258988,-0.00286501,0.003247197
AAPL,-4.12E-05,14139.72727,933222,127.48,-0.005883276,126.87475,125.888,125.268175,0.001353697,0.007607556,0.006080156
AAPL,1.58E-05,10274.42424,678112,127.1,0.000393391,126.89675,126.8978,126.11205,0.001753394,0.001765988,0.004301135
AAPL,-0.000179064,26809.73134,1796252,127.49,-0.009647816,127.38725,127.2542,126.812925,-0.009445608,-0.007003305,0.000316608
AAPL,-2.91E-05,10490.16667,692351,127.12,0.001848647,126.66425,126.4434,126.870025,0.004535613,0.005816832,0.000224639
AAPL,0.000147672,17167.81429,1201747,129.145,0.009717759,128.13675,127.5939,126.99425,0.015471752,0.018228928,0.007590698
AAPL,1.37E-05,12006.78788,792448,129.72,0.000578168,130.1195,130.0483,128.20585,-0.003212432,-0.001724744,0.008026545
AAPL,-6.10E-06,16463.07143,1152415,130.58,-0.004441722,130.185,129.925,129.449725,-0.002876676,-7.62E-05,0.004205494
AAPL,-2.91E-05,26160.13433,1752729,131.74,-0.000227721,130.5125,130.0415,130.0487,0.011383967,0.013462625,0.004618078
